Item,Description,Labor In Minutes,,
NT116WHM-N11,,,,
N116BGE-EA2REVC.3,,,,
B116XTN02.3-HW:2A/FW:0,,,,
REPAIR-LENOVO-11E-G3-BEZEL,Bezel Repair,15,,
01AW092,,,,
REPAIR-LENOVO-11E-G3-TOPCOVER,Topcover Repair,45,,
01AV973,,,,
REPAIR-LENOVO-11E-G3-TOUCHSCREEN,Touchscreen Repair,30,,
01AW189,,,,
01AW192,,,,
REPAIR-LENOVO-11E-G3-LVDS-YOGA,LVDS Cable Repair (Yoga),45,,
01AV987,,,,
REPAIR-LENOVO-11E-G3-LVDS,LVDS Cable Repair,45,,
01AV988,,,,
REPAIR-LENOVO-11E-G3-HINGESET,Hinge Repair,45,,
01AV980,,,,
REPAIR-LENOVO-11E-G3-HINGESET-YOGA,Hinge Repair (Yoga),45,,
01AV979,,,,
REPAIR-LENOVO-11E-G3-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-LENOVO-11E-G3-CAMERA,,15,,
00HN347,,,,
LENOVO-11E-G3-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-11E-G3-PALMREST,Palmrest Repair,30,,
01AV970,,,,
REPAIR-LENOVO-11E-G3-KEYBOARD,Keyboard Repair,15,,
01AW353,,,,
01AV760,,,,
REPAIR-LENOVO-11E-G3-BOTTOM-DOOR,Bottom Door Repair,15,,
01HY621,,,,
REPAIR-LENOVO-11E-G3-BATTERY,Battery Repair,30,,
00HW044,,,,
REPAIR-LENOVO-11E-G3-DC-JACK,DC Jack Repair,30,,
01AV989,,,,
REPAIR-LENOVO-11E-G3-SD-READER,SD Card Reader Repair,30,,
01LV970,,,,
REPAIR-LENOVO-11E-G3-WIFI-CARD,Wifi Card Repair,30,,
00JT469,,,,
REPAIR-LENOVO-11E-G3-MID-FRAME,Mid-Frame Repair,60,,
01AV977,,,,
REPAIR-LENOVO-11E-G3-MID-FRAME-YOGA,Mid-Frame Repair (Yoga),60,,
01AV976,,,,
REPAIR-LENOVO-11E-G3-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-11E-G3-MOTHERBOARD,Motherboard Repair,45,,
N/A,,,,
REPAIR-LENOVO-11E-G3-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-LENOVO-11E-G3-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-11E-G3-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-11E-G3-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
,,,,
REPAIR-LENOVO-11E-G4,Full Unit Repair for Lenovo 11E G4,,,
LENOVO-11E-G4-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-11E-G4-LCD,LCD Repair,15,,
NT116WHM-N21,,,,
NT116WHM-N11,,,,
N116BGE-EA2REVC.3,,,,
B116XTN02.3-HW:2A/FW:0,,,,
REPAIR-LENOVO-11E-G4-TOPCOVER,Topcover Repair,45,,
01HY392,,,,
REPAIR-LENOVO-11E-G4-CAMERA,Webcam Repair,30,,
00HN347,,,,
REPAIR-LENOVO-11E-G4-LVDS,LVDS Cable Repair,45,,
01HY400,,,,
REPAIR-LENOVO-11E-G4-BEZEL,Bezel Repair,15,,
01AW092,,,,
REPAIR-LENOVO-11E-G4-HINGESET,Hinge Repair,45,,
01HY396,,,,
REPAIR-LENOVO-11E-G4-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-LENOVO-11E-G4-LVDS-YOGA,LVDS Cable Repair (Yoga),45,,
00HW399,,,,
REPAIR-LENOVO-11E-G4-TOPCOVER-YOGA,Topcover Repair (Yoga),45,,
01HY393,,,,
REPAIR-LENOVO-11E-G4-TOUCHSCREEN,Touchscreen Repair,30,,
01HW903,,,,
01HW906,,,,
LENOVO-11E-G4-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-11E-G4-PALMREST,Palmrest Repair,45,,
01HY424,,,,
REPAIR-LENOVO-11E-G4-PALMREST-YOGA,Palmrest Repair (Yoga),45,,
01HY405,,,,
REPAIR-LENOVO-11E-G4-WIFI-CARD,Wifi Card Repair,30,,
00JT535,,,,
REPAIR-LENOVO-11E-G4-AUDIO-BOARD,I/O Board Repair,30,,
01HY403,,,,
REPAIR-LENOVO-11E-G4-BOTTOMCOVER,Bottom Cover Repair,15,,
01HY394,,,,
REPAIR-LENOVO-11E-G4-BATTERY,Battery Repair,30,,
01AV443,,,,
REPAIR-LENOVO-11E-G4-SPEAKERS,Speaker Repair,30,,
01HY402,,,,
REPAIR-LENOVO-11E-G4-HINGESET,Hinge Repair,45,,
01HY396,,,,
REPAIR-LENOVO-11E-G4-HINGESET-YOGA,Hinge Repair (Yoga),45,,
01HY395,,,,
REPAIR-LENOVO-11E-G4-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-11E-G4-MOTHERBOARD,Motherboard Repair,45,,
N/A,,,,
REPAIR-LENOVO-11E-G4-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-LENOVO-11E-G4-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-11E-G4-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-11E-G4-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
,,,,
REPAIR-LENOVO-N20,Full Unit Repair for Lenovo N20,,,
LENOVO-N20-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-N20-LCD,LCD Repair,15,,
NT116WHM-N21,,,,
NT116WHM-N11,,,,
N116BGE-EA2REVC.3,,,,
B116XTN02.3-HW:2A/FW:0,,,,
REPAIR-LENOVO-N20-TOPCOVER,Topcover Repair,30,,
5CB0G15042 ,,,,
REPAIR-LENOVO-N20-LVDS,LVDS Cable Repair,30,,
5C10G15008 ,,,,
REPAIR-LENOVO-N20-BEZEL,Bezel Repair,15,,
5B30G15010,,,,
REPAIR-LENOVO-N20-HINGECOVER,Hingecover Repair,15,,
5CB0G15026,,,,
REPAIR-LENOVO-N20-HINGESET,Hinge Repair,30,,
5H50G15024,,,,
REPAIR-LENOVO-N20-CAMERA,Webcam Repair,15,,
5C20G15029,,,,
REPAIR-LENOVO-N20-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
LENOVO-N20-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-N20-KEYBOARD,Keyboard Repair,15,,
25216074,,,,
25216099,,,,
REPAIR-LENOVO-N20-PALMREST,Palmrest Repair,30,,
5CB0G15038,,,,
REPAIR-LENOVO-N20-BATTERY,Battery Repair,30,,
121500254,,,,
L13M6P61,,,,
121500255,,,,
REPAIR-LENOVO-N20-DC-JACK,DC Jack Repair,15,,
5C10G15004,,,,
REPAIR-LENOVO-N20-BOTTOMCASE,Bottomcase Repair,45,,
5CB0G15013,,,,
REPAIR-LENOVO-N20-WIFI-CARD,Wifi Card Repair,15,,
20200606,,,,
20200552,,,,
784645-005,,,,
KI.WKN01.006,,,,
04X6007,,,,
 755529-005,,,,
 GPFNK,,,,
REPAIR-LENOVO-N20-DC-JACK-BRACKET,DC Jack Bracket Repair,15,,
5B40G15032 ,,,,
REPAIR-LENOVO-N20-IO-BOARD,I/O Board Repair,30,,
5C50G15020,,,,
REPAIR-LENOVO-N20-SPEAKERSET,Speaker Repair,15,,
5SB0G15017,,,,
REPAIR-LENOVO-N20-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-N20-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-LENOVO-N20-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-N20-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-N20-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-LENOVO-N20-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
,,,,
REPAIR-LENOVO-N20P,Full Unit Repair for Lenovo N20P,,,
LENOVO-N20P-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-N20P-TOUCHSCREEN,Touchscreen Repair,30,,
5D10G15045,,,,
REPAIR-LENOVO-N20P-TOPCOVER,Topcover Repair,30,,
5CB0G15019,,,,
REPAIR-LENOVO-N20P-HINGECOVER,Hingecover Repair,15,,
5CB0G15026,,,,
REPAIR-LENOVO-N20P-HINGESET-LVDS-CAM,LVDS Cable Repair,45,,
5H50G15014,,,,
REPAIR-LENOVO-N20P-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
LENOVO-N20P-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-N20P-PALMREST,Palmrest Repair,30,,
5CB0G15039,,,,
REPAIR-LENOVO-N20P-KEYBOARD,Keyboard Repair,15,,
25216074,,,,
25216099,,,,
REPAIR-LENOVO-N20P-BATTERY,Battery Repair,30,,
121500254,,,,
L13M6P61,,,,
121500255,,,,
REPAIR-LENOVO-N20P-DC-JACK,DC Jack Repair,15,,
5C10G15004,,,,
REPAIR-LENOVO-N20P-BOTTOMCASE,Bottomcase Repair,45,,
5CB0G15013,,,,
REPAIR-LENOVO-N20P-WIFI-CARD,Wifi Card Repair,15,,
 GPFNK,,,,
784645-005,,,,
REPAIR-LENOVO-N20P-DC-JACK-BRACKET,DC Jack Bracket Repair,15,,
5B40G15032 ,,,,
REPAIR-LENOVO-N20P-IO-BOARD,I/O Board Repair,30,,
5C50G15020,,,,
REPAIR-LENOVO-N20P-SPEAKERSET,Speaker Repair,15,,
5SB0G15017,,,,
REPAIR-LENOVO-N20P-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-N20P-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-LENOVO-N20P-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-N20P-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-N20P-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-LENOVO-N20P-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
,,,,
REPAIR-LENOVO-N21,Full Unit Repair for Lenovo N21,,,
